1,故宫,5A景区,1.0,[北京·北京·东城区],10343,20.0,东方宫殿建筑代表，世界宫殿建筑典范,地址：北京市东城区景山前街4号
2,圆明园,4A景区,0.76,[北京·北京·海淀区],4849,25.0,追忆昔日万园之园,地址：北京市海淀区清华西路28号
3,天安门广场,,1.0,[北京·北京·东城区],3188,20.0,我爱北京天安门，天安门上太阳升,地址：北京市东城区天安门
4,八达岭长城,5A景区,0.82,[北京·北京·延庆县],1256,160.0,不到长城非好汉,地址：北京市延庆县军都山关沟古道北口216省道附近
5,颐和园,5A景区,0.82,[北京·北京·海淀区],1212,41.0,保存完整的一座皇家行宫御苑,地址：北京市海淀区新建宫门路19号
6,恭王府,5A景区,0.74,[北京·北京·西城区],892,60.0,一起去看看和珅家,地址：北京市西城区什刹海前海西街17号
7,故宫礼物,,0.0,[北京·北京·故宫],1710,9.0,来自故宫的礼物,地址：北京市故宫内坤宁宫东基化门南侧故宫文化产品专卖店
8,慕田峪长城,5A景区,0.7,[北京·北京·怀柔区],1466,20.0,秀美长城，关键是人少,地址：北京市怀柔区慕田峪村
9,八达岭长城缆车,,0.0,[北京·北京·八达岭长城],1448,160.0,巍峨雄伟尽收眼底,地址：北京市延庆县军都山关沟古道北口八达岭长城景区内
10,水立方,,0.0,[北京·北京·奥林匹克公园],2000,14.0,中国的荣耀，阳光下的晶莹水滴,地址：北京市朝阳区天辰东路11号奥林匹克公园内
11,什刹海,4A景区,0.78,[北京·北京·西城区],1408,9.9,老北京的温柔乡，北京签到地,地址：北京市西城区羊房胡同
12,定陵,,0.72,[北京·北京·明十三陵],450,46.7,明十三陵中被开发的地下宫殿,地址：北京市昌平区十三陵特区明十三陵
13,慕田峪长城箱式索道,,0.0,[北京·北京·慕田峪长城],594,35.0,饱览万里长城美景的缆车,地址：北京市怀柔区渤海镇慕田峪村
14,北京杜莎夫人蜡像馆,,0.0,[北京·北京·前门大街],374,85.0,中轴线上的巨星之旅,地址：北京市东城区前门大街8号
15,北京动物园,4A景区,0.72,[北京·北京·西城区],706,160.0,百余种动物，让你离自然更近,地址：北京市西城区西直门外大街137号
16,创意桥园,3A景区,0.0,[天津·天津·河东区],0,0.0,公园面积400亩，其中生态水域面积近200亩，种植各类植物60余种，容积率不到0.04，具有无可比拟的生态优势。创意桥园,地址：天津市河东区天山路与盘山道交口
17,宏佲健身俱乐部,,0.0,[天津·天津·和平区],0,0.0,运动与休闲有机结合，帮助您释放压力,地址：天津市和平区荣业大街新文化花园新雅居171号B1楼(近二南开操场)
18,盘山高尔夫俱乐部,,0.0,[天津·天津·蓟县],0,0.0,天津市目前仅有的一家依山傍水的公园式球场,地址：天津蓟县燕山西大街706号
19,杨柳青庄园,4A景区,0.0,[天津·天津·西青区],50,0.1,集住宿、会议、餐饮、娱乐休闲于一体,地址：天津市西青区津同公路20号
20,帝景温泉滑草场,,0.0,[天津·天津·宝坻区],49,38.0,来感受刺激激情的滑草之旅吧,地址：天津京津新城帝景温泉度假村
21,蓟州溶洞,3A景区,0.0,[天津·天津·蓟县],18,72.0,洞内景观晶莹剔透，千姿百态，绚丽多姿,地址：天津市蓟县罗庄子镇洪水庄村北灵气山下
22,天山海世界米立方,4A景区,0.0,[天津·天津·津南区],10,30.0,恒温水上欢乐，满足你爱水的天性,地址：天津市津南区天津市津南区小站镇津歧路与盛塘路交汇处
23,天津京津新城凯悦酒店温泉,,0.0,[天津·天津·宝坻区],77,105.0,欧洲古典城堡的非凡气势和神秘色彩,地址：天津宝坻区周良庄珠江大道8号
24,精武门·中华武林园,4A景区,0.0,[天津·天津·西青区],46,0.5,世界精武之源，也是世界精武之根,地址：天津市西青区精武镇小南河村
25,大悲禅院,4A景区,0.78,[天津·天津·河北区],97,0.7,朱门绿瓦，佛坛高筑，松柏参天，庄严静穆,地址：天津市河北区天纬路中段东北侧
26,五大道,4A景区,0.0,[天津·天津·和平区],18,6.0,具有罗马建筑风格,地址：天津市和平区睦南道
